words_in_first_summary,words_in_second_summary
171,190
140,124
169,212
159,186
139,241
136,167
155,259
162,277
125,213
155,216
159,160
130,149
149,171
151,157
153,192
130,280
195,254
140,161
115,176
121,110
144,218
176,194
147,265
173,193
164,225
132,220
139,207
168,183
126,253
157,147
193,215
171,199
185,213
119,197
168,238
178,199
131,208
143,201
131,95
167,245
150,161
155,191
126,174
140,156
120,189
198,170
152,108
129,203
178,178
138,174
157,196
133,215
160,285
167,221
138,241
118,231
135,240
127,191
142,185
156,167
132,109
133,102
136,194
169,265
173,218
200,227
126,116
193,175
138,200
137,206
130,119
169,196
171,245
125,182
160,204
148,315
132,176
137,194
144,211
143,217
133,222
132,130
162,170
133,123
152,206
124,202
133,188
138,204
147,73
138,212
123,178
152,267
174,258
181,266
119,123
181,184
142,238
125,261
130,158
141,126
167,79
129,242
129,125
118,119
133,203
152,206
173,188
143,166
157,123
146,129
132,130
136,204
149,220
132,232
145,227
142,168
118,188
116,77
143,219
171,240
169,276
124,254
128,235
156,175
174,190
143,185
179,193
181,220
141,131
189,227
141,208
164,222
155,244
141,224
134,234
174,278
116,115
166,227
174,219
133,218
133,163
124,221
178,238
139,268
122,113
129,103
123,228
152,278
156,266
147,201
168,206
120,246
177,181
173,176
198,208
148,166
150,156
145,152
115,165
170,200
175,296
127,211
114,115
160,183
115,179
135,233
166,200
139,117
130,125
167,193
142,205
144,231
160,176
171,221
153,230
155,189
143,209
139,236
135,142
142,199
173,117
147,284
151,195
161,214
129,186
173,214
131,160
125,87
131,202
122,155
172,193
192,194
156,154
186,225
140,140
167,188
148,115
143,233
176,200
113,130
115,116
155,244
143,159
150,242
125,189
133,197
140,248
168,249
172,230
155,287
158,134
142,140
173,85
173,199
174,210
129,134
155,80
119,229
176,203
133,149
174,257
115,77
169,207
162,260
145,168
156,196
132,213
158,274
139,137
163,205
147,217
136,159
143,153
143,146
140,234
150,247
152,156
173,281
198,265
127,217
190,155
130,127
115,151
144,183
145,243
169,227
141,110
127,263
183,241
150,224
143,192
134,238
164,253
130,154
133,230
161,181
180,208
141,144
160,153
116,174
158,216
131,139
169,155
173,142
145,198
133,201
190,194
134,230
162,112
137,179
188,237
142,205
143,190
132,133
139,175
164,203
152,235
147,260
164,287
138,215
139,170
171,247
134,183
152,242
138,250
126,135
132,114
152,225
137,222
123,176
134,187
144,234
155,244
147,199
118,98
111,175
123,274
145,240
123,161
140,205
151,160
178,184
139,235
153,233
189,189
130,170
127,231
132,128
154,222
151,229
142,198
201,77
162,190
140,284
143,234
124,220
177,274
133,223
154,239
126,198
180,199
141,215
142,289
175,256
135,154
165,299
140,211
180,211
163,151
153,188
169,158
143,165
115,141
135,204
142,168
129,144
189,180
187,220
148,273
134,225
195,174
131,94
121,206
154,190
135,226
183,156
152,186
168,216
156,233
117,117
176,252
114,162
131,231
115,158
117,118
181,211
113,116
134,201
191,172
117,173
145,223
135,163
172,222
123,113
121,113
124,115
182,240
178,213
113,120
168,204
192,211
154,245
130,114
139,137
139,232
163,242
141,212
161,280
160,279
139,212
142,182
151,233
136,183
125,197
132,108
141,87
142,199
173,269
190,174
180,195
163,209
119,77
131,99
173,211
126,101
143,160
145,202
161,173
143,244
175,215
176,190
141,310
121,120
149,118
194,215
165,190
125,116
126,112
136,119
128,138
128,258
131,235
189,262
166,250
154,209
154,164
197,189
153,254
120,200
128,170
155,265
131,245
144,191
143,254
158,231
151,150
151,209
160,111
127,77
134,251
146,206
188,223
129,79
135,101
138,153
143,190
141,195
156,188
151,203
148,158
142,200
194,216
124,156
135,209
141,206
130,194
144,210
188,181
133,230
138,229
136,245
172,218
146,257
169,196
151,227
149,173
120,70
135,174
150,149
129,150
176,209
131,157
149,178
122,161
127,214
176,208
154,212
161,182
133,186
155,226
173,166
142,166
153,153
121,298
144,223
125,164
147,110
140,159
142,188
182,244
119,228
140,218
133,119
129,116
163,109
148,226
170,216
123,112
162,256
166,154
143,251
158,175
172,238
219,225
150,210
160,270
118,227
134,193
133,154
142,145
