words_in_first_summary,words_in_second_summary
155,307
158,239
133,160
136,218
158,163
150,129
163,211
156,165
157,227
157,218
143,244
148,219
147,234
124,143
145,168
124,129
131,133
172,189
120,134
177,243
144,192
169,195
150,141
135,205
137,125
114,244
156,207
148,185
174,165
130,176
155,142
119,192
139,182
141,182
142,276
135,200
171,166
143,188
195,187
120,126
155,159
144,229
147,191
131,200
180,202
154,217
143,164
130,145
122,163
157,164
169,131
155,219
195,157
143,165
163,223
135,171
152,149
136,174
170,185
146,136
141,177
153,158
139,200
170,184
135,146
138,176
190,218
148,176
168,236
169,167
143,138
188,133
131,150
192,236
160,184
188,239
191,165
122,191
144,150
113,156
112,155
123,122
144,135
188,199
126,153
143,149
180,170
132,155
126,160
184,198
124,138
165,126
140,147
116,129
166,242
143,170
128,196
159,224
132,197
152,157
146,196
150,172
163,240
174,207
127,181
150,183
148,227
155,138
141,161
177,175
120,124
151,168
158,169
167,203
112,123
159,215
150,167
175,164
134,176
139,108
186,226
183,207
169,189
152,141
129,135
150,131
141,225
172,161
129,169
151,133
135,176
164,269
139,152
137,167
131,148
143,125
140,161
140,157
154,196
136,191
160,173
162,304
170,163
143,189
130,209
132,158
178,222
150,161
167,190
140,142
143,188
131,173
137,188
119,170
139,160
144,182
131,138
180,144
115,169
150,168
115,154
113,129
140,141
140,135
140,202
137,158
158,218
185,194
134,176
140,164
143,160
201,275
135,189
125,190
161,192
177,151
166,186
178,185
164,171
143,196
135,173
141,173
162,169
162,227
125,133
148,196
189,194
145,163
147,136
147,116
153,188
190,151
174,198
143,119
169,155
153,236
139,135
109,131
185,173
108,125
126,133
125,167
125,179
152,165
139,162
114,173
142,177
135,176
176,213
173,146
131,152
117,182
162,207
165,184
151,145
168,189
136,216
123,249
147,190
122,144
168,182
178,185
170,214
142,172
142,124
143,125
170,180
153,162
126,185
151,160
129,132
134,171
147,131
133,169
183,273
145,121
176,207
173,143
109,127
167,152
145,201
168,211
139,132
136,192
130,141
145,208
152,173
118,169
139,115
152,143
130,154
114,128
187,230
177,313
159,133
163,200
153,156
172,187
139,112
144,149
160,165
143,174
164,226
152,123
146,133
188,163
166,260
125,143
142,207
149,227
134,188
141,119
117,124
125,151
143,119
138,158
127,150
177,156
142,121
144,218
153,231
188,205
150,171
142,179
138,155
187,181
132,169
109,127
154,164
192,209
142,127
115,134
116,177
142,130
131,164
179,163
132,156
129,170
142,240
113,176
135,189
113,180
150,198
126,171
165,189
184,179
161,233
161,188
177,188
149,226
118,151
159,138
150,171
143,120
137,186
160,173
115,140
175,177
140,135
121,161
134,148
137,134
150,163
131,161
153,176
158,195
144,193
175,204
157,192
181,226
148,193
165,160
165,250
121,171
188,201
161,170
160,188
155,171
182,176
115,191
142,119
111,148
130,114
183,200
184,162
150,117
170,321
151,164
187,202
145,201
137,199
133,162
120,130
115,122
141,135
117,140
134,161
148,176
143,111
160,149
152,145
189,194
145,206
173,181
128,175
140,128
120,167
121,192
162,210
130,143
164,177
146,165
173,136
132,144
173,179
139,129
186,200
143,166
128,167
189,242
120,128
118,181
185,151
143,195
143,165
152,194
185,174
127,164
190,202
129,142
127,180
154,133
149,189
163,192
187,196
121,163
154,196
136,119
139,133
130,147
188,199
162,220
126,140
140,167
160,183
153,183
143,174
168,225
135,215
126,142
121,174
141,130
140,203
173,244
143,176
162,183
111,177
141,119
144,209
187,181
161,123
147,215
128,131
141,141
142,201
133,153
189,152
165,156
123,193
146,208
184,208
155,152
113,168
148,162
159,135
147,130
198,221
148,165
141,175
120,204
136,195
139,155
175,250
129,127
186,212
126,141
184,234
173,175
189,155
130,105
121,167
120,245
125,205
185,188
151,165
123,195
142,182
147,211
123,161
139,206
136,158
177,205
113,249
143,197
184,182
189,168
152,234
175,202
130,217
172,226
192,230
143,160
163,164
143,142
141,221
127,159
155,191
147,198
148,197
132,234
134,231
125,148
116,174
174,164
133,208
134,157
127,139
125,136
140,169
127,208
133,124
127,117
162,190
117,169
157,166
175,221
156,289
184,204
142,168
188,168
