words_in_first_summary,words_in_second_summary
117,82
109,86
95,55
91,46
115,109
128,90
102,73
80,63
94,64
126,90
95,68
79,65
118,83
74,75
135,83
109,97
111,106
62,33
117,86
126,71
95,98
137,80
132,76
119,78
138,78
100,69
115,91
105,44
126,79
100,94
107,60
87,73
129,93
105,94
73,45
132,83
109,81
92,85
77,47
101,84
111,82
110,66
109,77
133,92
148,92
100,85
142,91
119,57
96,83
102,102
112,102
114,93
81,73
130,105
98,48
102,64
99,72
120,93
160,120
68,46
132,105
96,70
97,70
119,71
110,65
68,72
81,38
101,70
95,70
75,44
105,79
81,75
100,85
120,78
136,111
143,55
107,65
108,85
145,120
99,58
98,66
116,89
103,80
104,91
99,59
113,75
108,88
130,90
107,79
114,93
88,49
108,80
56,44
161,99
98,54
93,60
94,65
130,97
87,72
124,92
87,82
168,102
162,141
109,77
93,77
122,90
87,32
112,83
113,70
114,93
88,64
118,79
118,74
140,71
110,78
74,50
90,71
85,72
104,76
105,84
85,67
109,91
98,70
103,55
140,90
129,91
130,117
122,95
102,88
112,75
110,54
147,95
101,73
100,92
78,66
130,111
108,82
113,76
143,76
84,61
107,84
95,62
132,102
122,74
118,86
94,75
108,98
156,123
124,91
69,59
93,66
116,90
123,95
135,100
168,120
141,68
100,93
114,56
106,82
92,79
82,67
129,95
115,71
64,55
121,68
118,92
135,80
109,71
110,81
110,67
114,91
92,50
84,75
103,53
100,71
83,82
99,99
114,67
122,94
95,57
105,95
72,54
69,60
114,97
121,85
122,94
116,76
89,71
98,80
103,74
113,96
126,63
119,80
76,63
85,43
85,68
128,103
128,97
129,114
136,93
124,120
92,69
106,98
154,103
71,69
127,88
87,58
98,81
65,37
90,26
125,76
100,51
87,66
77,71
93,50
155,113
109,77
174,92
110,84
114,88
103,65
106,81
123,83
97,79
120,118
90,66
134,112
121,96
109,87
137,86
128,93
126,116
105,88
117,103
97,87
98,101
106,83
99,50
139,103
112,99
87,66
91,59
92,50
121,92
85,53
85,44
130,87
111,101
100,88
159,109
102,97
124,97
125,109
141,75
121,88
93,87
129,107
104,90
78,70
113,71
104,78
98,61
114,79
93,56
92,56
126,72
124,90
88,81
126,109
118,66
134,62
80,69
93,69
106,79
65,57
135,92
102,68
127,84
141,103
136,102
130,101
115,81
86,66
94,72
181,111
116,117
82,59
77,27
86,61
97,90
111,81
132,99
100,70
91,67
75,23
99,91
126,86
89,76
109,71
114,95
92,76
113,70
124,119
133,115
155,103
122,106
116,96
100,87
96,72
85,56
122,73
93,56
110,86
96,64
112,89
99,66
152,109
112,59
102,75
86,80
117,100
85,52
88,59
116,72
124,62
137,115
83,53
86,60
142,93
89,64
114,75
84,36
115,81
108,88
75,66
85,79
142,121
147,83
110,81
110,67
112,94
76,69
78,56
105,77
98,105
147,97
90,65
110,81
93,54
103,61
124,96
93,62
192,123
75,68
92,59
84,81
109,78
106,78
153,104
96,89
80,66
113,100
104,79
110,83
111,77
100,63
204,96
73,60
123,91
114,77
96,86
93,70
91,59
183,150
141,71
95,82
149,115
97,78
116,83
137,97
121,53
98,82
111,90
102,79
105,36
91,81
95,66
157,108
95,90
126,107
108,86
104,84
85,51
133,92
121,71
124,79
93,97
121,67
105,79
113,68
108,93
111,74
130,113
112,95
113,68
135,112
115,70
88,78
100,67
81,65
113,81
96,69
155,102
112,64
98,84
99,64
143,116
88,47
114,86
104,91
117,77
117,73
91,59
108,83
92,84
106,80
127,93
126,113
95,72
90,57
112,62
172,107
111,83
109,84
103,54
131,96
137,78
118,83
93,68
77,60
91,76
113,81
110,70
92,79
99,63
117,78
113,69
105,65
101,88
86,70
120,83
99,65
106,66
101,56
134,88
107,60
104,79
130,67
101,79
103,57
99,81
119,81
85,78
123,100
97,95
131,104
94,74
145,83
95,55
100,91
114,97
77,61
109,93
146,110
65,68
103,83
93,75
90,82
109,71
105,93
99,76
94,68
81,63
117,81
116,76
109,73
113,81
96,73
164,106
103,74
96,74
86,61
99,71
99,71
91,74
91,81
61,47
115,85
106,77
94,67
