words_in_first_summary,words_in_second_summary
87,83
114,112
81,83
96,87
122,107
105,99
83,83
107,103
63,55
83,83
105,117
101,98
100,85
117,103
145,114
107,98
74,74
104,110
113,115
91,91
89,92
150,122
89,85
122,132
113,121
126,128
127,108
116,105
112,82
103,100
104,98
107,109
93,85
90,102
96,111
92,97
157,166
100,96
118,130
156,168
105,100
97,96
185,99
85,96
156,168
181,172
118,114
95,89
97,87
99,95
85,66
112,113
95,80
97,95
95,85
104,114
91,98
107,85
99,88
128,136
127,123
94,89
75,81
97,95
116,118
85,79
125,125
122,134
79,71
113,119
111,100
113,116
120,114
104,112
86,104
100,92
105,90
107,90
73,85
60,61
129,121
101,91
100,103
148,168
131,105
160,171
96,106
122,107
66,72
115,114
103,111
132,101
117,113
87,80
96,87
87,95
121,88
158,145
148,114
69,69
99,110
103,95
88,83
118,127
99,97
142,128
91,89
116,107
102,107
142,164
94,113
110,106
76,82
122,137
79,85
123,119
129,118
137,132
107,110
145,161
101,77
107,115
101,119
111,116
99,81
84,88
105,99
146,142
95,94
108,92
113,105
85,77
168,160
105,120
88,87
76,83
104,108
104,90
101,104
83,86
101,106
98,76
96,98
113,132
103,71
128,129
84,75
133,132
115,99
84,80
76,86
114,110
134,116
91,102
110,84
111,90
63,56
146,137
126,115
145,141
125,130
115,108
105,96
108,97
125,111
105,89
117,108
137,141
140,120
123,104
112,98
91,83
131,117
132,153
114,125
94,103
86,72
96,90
119,104
132,129
140,116
76,78
97,93
86,95
109,112
86,76
144,84
125,112
108,108
103,112
109,100
89,98
95,98
139,149
125,104
115,123
163,157
122,137
117,109
87,112
120,121
98,104
90,92
141,149
87,78
80,67
98,109
149,136
110,106
156,143
155,146
99,96
78,73
110,120
91,79
107,99
93,93
113,97
135,127
95,96
93,102
107,104
82,63
91,90
110,111
80,80
109,123
97,92
107,113
102,105
109,102
119,123
118,130
97,83
101,115
81,91
97,93
128,112
123,129
80,76
87,81
118,108
90,93
127,117
105,116
87,81
104,86
136,135
95,77
86,89
147,136
125,121
119,100
117,117
101,87
115,105
161,155
129,125
124,122
107,89
103,86
87,82
121,120
141,149
96,107
95,77
92,82
84,88
86,94
107,97
98,114
109,101
92,69
94,84
88,98
118,113
101,95
116,121
130,122
66,71
75,77
117,111
166,185
84,83
74,73
124,112
96,92
105,121
114,112
101,91
158,160
111,114
157,153
113,96
150,112
99,122
108,150
104,108
110,91
129,139
128,150
94,95
93,81
126,115
110,104
88,89
86,69
121,119
80,79
146,139
107,102
121,122
97,105
94,82
102,104
163,170
99,101
134,117
118,128
78,82
115,111
123,113
86,99
100,99
83,91
98,104
120,115
113,105
128,139
109,115
118,100
127,134
124,138
117,118
87,85
97,91
134,150
160,140
87,77
87,85
122,113
125,115
161,155
138,140
108,88
155,94
90,83
111,115
105,94
113,130
95,109
126,123
119,120
133,119
109,122
113,127
94,95
89,102
85,82
99,99
114,116
148,116
164,114
120,103
128,108
77,90
111,114
150,167
87,73
92,90
70,71
98,101
95,89
120,116
80,81
76,79
122,110
119,96
104,89
113,95
123,110
115,119
64,66
110,92
114,126
71,76
136,110
82,76
138,131
99,98
114,127
80,80
114,99
116,123
137,155
104,91
120,143
87,81
104,97
64,58
124,122
85,102
107,100
117,99
125,108
87,84
126,132
85,83
128,118
77,60
117,117
108,98
132,113
109,100
108,112
97,68
152,146
84,86
96,85
96,98
115,113
137,134
95,84
116,123
120,90
96,95
170,116
145,143
106,84
112,117
80,81
124,89
123,157
148,165
117,108
116,100
105,99
127,115
115,123
116,112
107,93
110,102
126,149
97,97
109,110
100,102
95,86
95,113
134,94
88,95
122,144
106,106
88,98
120,123
111,93
143,78
133,127
82,64
101,80
97,85
130,96
108,128
99,89
87,79
154,141
99,87
151,136
116,125
104,115
91,82
80,79
112,107
88,95
111,80
144,152
106,115
146,155
100,101
106,99
98,87
119,113
159,149
103,110
80,87
131,114
148,182
119,108
94,97
126,126
85,88
100,112
108,102
121,112
83,81
125,117
104,113
120,119
90,80
107,90
75,70
